birthDateDay,birthDateMonth,birthDateYear,bodytype,drinking,educationValue,gender,heightCm,locationFormatted,smoking,username,lat,long,minAge,maxAge,age,sexPreference,orientation
23,3,1991,,,,man,0,hsia-ta-keng,,chenweiyan,25.78829422,114.383699,19,36,25,woman,straight
15,5,1985,fit,socially,university,man,170,pai-yn shan-chuang,no,cocaqwerty,29.68233356,114.8613035,22,48,31,woman,straight
30,1,1985,average_build,socially,university,woman,161,chn-wei,no,ha_di_ha,36.43589415,115.0600506,30,40,31,man,straight
24,5,1970,average_build,socially,,man,176,shan-wei,yes,ku-li,22.71646123,115.3242608,26,74,46,woman,straight
6,10,1979,average_build,socially,university,woman,0,jen-mei,no,tsc020,24.31273694,115.9862891,34,40,37,man,straight
6,10,1979,fit,socially,university,woman,158,jen-mei,no,fecsvlove,24.29771475,116.082144,33,45,37,man,straight
25,9,1982,fit,socially,,man,0,jen-mei,no,llopvee,24.19985144,116.1150481,23,35,34,woman,straight
2,3,1987,,,,man,0,nan-ping,,harveyheller,26.6279759,118.203171,20,40,29,woman,straight
29,11,1985,,not_at_all,,woman,0,she-chuang,no,irene_7777,29.77445354,118.4999714,26,36,31,man,straight
25,4,1980,average_build,socially,university,man,168,chang-pu-keng,no,heroesnaruto,25.98096299,118.6820625,24,40,36,everyone,bisexual
16,5,1979,,socially,,man,0,nan-kan,no,jimtang0516,26.23951205,119.8004537,33,42,37,woman,straight
31,10,1978,,,,woman,0,nan-kan,,momocottt,26.14850999,119.8623751,35,45,38,man,straight
13,10,1985,,,,woman,0,nan-kan,,funkymango13,26.14325798,119.998602,22,48,31,man,straight
11,5,1982,fit,socially,two_year_college,man,175,hsi-hu,sometimes,geoff_hsu,30.25110446,120.0518359,25,35,34,woman,straight
2,5,1974,,socially,two_year_college,woman,165,kao-hsiung-ka,no,jessica-sun,22.31319109,120.0574505,34,48,42,man,straight
31,12,1980,,,,woman,0,kao-hsiung-ka,,bella-31,22.55974066,120.078984,30,50,36,man,straight
21,7,1984,a_little_extra,socially,university,woman,170,kao-hsiung-ka,no,driftingsongs,22.45430814,120.0861861,25,40,32,everyone,bisexual
3,12,1980,a_little_extra,socially,university,man,185,kao-hsiung-ka,sometimes,deansonlin,22.6293878,120.1242186,18,38,36,woman,straight
9,6,1997,,,,woman,163,kao-hsiung-ka,no,yihui30919,22.59781448,120.15355,18,30,19,man,straight
5,11,1992,,,,woman,0,kao-hsiung-ka,,abe55132,22.6190077,120.172393,19,35,24,man,straight
13,9,1991,fit,socially,university,woman,153,kao-hsiung-ka,no,oochayi,22.5580085,120.1727138,18,32,25,man,straight
4,4,1997,,,,man,0,kao-hsiung-ka,,alexander1404,22.62852122,120.1854661,18,26,19,woman,straight
26,12,1994,,,,woman,0,kao-hsiung-ka,,olivia1226,22.30269918,120.1871491,18,28,22,man,straight
17,4,1995,fit,often,,woman,151,kao-hsiung-ka,no,kimhwahwa,22.52176556,120.2009219,18,30,21,man,straight
12,5,1992,,socially,,woman,0,hsin-ta-kang,,janelledewilde,22.88916027,120.2045688,22,34,24,man,straight
5,9,1994,,not_at_all,,woman,160,kao-hsiung-ka,no,jia-rong,22.61222298,120.2055663,18,26,22,man,straight
13,8,1975,,,,man,0,chih-kan-lou,,alqlion,22.93537514,120.2154276,24,40,41,woman,straight
10,6,1981,fit,socially,university,man,185,kao-hsiung-ka,sometimes,bailz8,22.51311255,120.2232598,18,36,35,woman,straight
13,8,1994,average_build,,,man,171,kao-hsiung-ka,,embracetdarkness,22.50223843,120.226625,18,30,22,woman,straight
6,8,1976,average_build,socially,post_grad,man,183,kao-hsiung-ka,no,chrisschorr,22.60266638,120.2344172,24,36,40,woman,straight
18,10,1986,,,,woman,0,kao-hsiung-ka,,ismesh,22.65840797,120.2347151,25,46,30,man,straight
14,6,1976,average_build,socially,university,woman,150,kao-hsiung-ka,no,mic1976e,22.54685122,120.2435798,35,50,40,man,straight
8,2,1976,average_build,socially,,man,213,kao-hsiung-ka,no,canterbury3027,22.54592087,120.2439665,18,60,40,woman,straight
10,4,1984,,socially,,woman,0,kao-hsiung-ka,no,angela0410thecat,22.54164902,120.2442633,23,50,32,man,straight
6,5,1991,,,,woman,0,kao-hsiung-ka,no,may_echo,22.57993123,120.2491727,19,36,25,man,straight
10,1,1983,,,,woman,0,kao-hsiung-ka,,liwem,22.71955654,120.2533035,23,52,34,man,straight
9,5,1988,,,,woman,0,kao-hsiung-ka,,doristangchia,22.52218145,120.25466,28,35,28,man,straight
5,9,1997,average_build,not_at_all,university,man,181,kao-hsiung-ka,no,xbenitox,22.59457581,120.2558016,18,26,19,man,gay
25,9,1987,,,,woman,0,kao-hsiung-ka,,artedontcare,22.57685617,120.2562241,21,44,29,man,straight
2,4,1972,,,,man,0,kao-hsiung-ka,,singwhtm,22.65057837,120.2611566,18,39,44,woman,straight
9,6,1979,,,,woman,0,kao-hsiung-ka,,clarita89,22.55411618,120.2634325,35,45,37,man,straight
20,11,1996,,socially,university,woman,0,kao-hsiung-ka,no,ciindy_lin1120,22.48304021,120.2652312,18,26,20,man,straight
16,3,1988,thin,socially,university,woman,154,kao-hsiung-ka,no,jaimie0316,22.73121263,120.2663754,28,45,28,man,straight
6,7,1983,,,,woman,0,kao-hsiung-ka,no,docindy,22.70770885,120.2687198,34,45,33,man,straight
14,12,1974,thin,socially,post_grad,man,183,kao-hsiung-ka,no,mackallan,22.52696061,120.2689585,25,32,42,woman,straight
20,3,1993,,,,woman,0,kao-hsiung-ka,,p5318489,22.62118393,120.2690492,18,32,23,man,straight
25,2,1997,,,,woman,0,kao-hsiung-ka,,zakaro,22.80269918,120.2706717,18,26,19,man,straight
7,1,1984,fit,socially,university,woman,158,kao-hsiung-ka,no,suichingchaotaiw,22.75149975,120.2737244,18,90,33,man,straight
7,6,1981,average_build,not_at_all,post_grad,man,167,kao-hsiung-ka,no,sneaker97,22.37907344,120.2747133,24,56,35,woman,straight
2,1,1967,,not_at_all,,woman,168,kao-hsiung-ka,no,feliz828,22.61950079,120.2774667,45,70,50,man,straight
27,2,1993,average_build,,university,man,173,kao-hsiung-ka,,asdfg869527,22.63582692,120.2777457,18,50,23,everyone,bisexual
15,11,1990,average_build,not_at_all,university,man,180,liu-ku,no,donnycoolthecat,28.59279667,120.2779901,18,26,26,woman,straight
12,2,1983,thin,,post_grad,woman,163,kao-hsiung-ka,,jen_yang,22.60191127,120.2783861,30,40,33,man,straight
31,1,1980,,,,woman,0,kao-hsiung-ka,,may4ever,22.51587747,120.2785085,25,58,36,man,straight
26,8,1995,,socially,university,woman,159,kao-hsiung-ka,no,vvnanan,22.63194423,120.281385,18,28,21,man,straight
4,8,1994,,,,woman,0,kao-hsiung-ka,,ohhlora,22.62735308,120.2823068,23,30,22,man,straight
1,6,1976,fit,socially,post_grad,woman,165,kao-hsiung-ka,no,baltic_matera,22.48028938,120.2835823,37,55,40,man,straight
29,11,1985,average_build,socially,university,man,178,kao-hsiung-ka,,morridevison,22.574629,120.2837507,20,42,31,woman,straight
4,4,1990,,socially,,woman,0,kao-hsiung-ka,,khoop_24,22.63260001,120.2842805,25,35,26,man,straight
23,9,1992,,socially,,woman,157,kao-hsiung-ka,,yiru9329,22.47359807,120.2855734,23,30,24,man,straight
7,5,1997,,not_at_all,university,woman,0,kao-hsiung-ka,no,nikkistyle0507,22.44203231,120.2860675,18,26,19,man,straight
3,9,1981,,socially,university,woman,0,kao-hsiung-ka,no,eileenyeh,22.60842622,120.2880692,24,56,35,man,straight
5,2,1964,average_build,not_at_all,university,woman,163,kao-hsiung-ka,no,teresa8899,22.58524221,120.2889062,41,70,52,man,straight
13,8,1995,,socially,,woman,164,kao-hsiung-ka,yes,tihanatigi,22.48355093,120.2914908,20,30,21,man,straight
22,3,1993,thin,socially,,woman,160,kao-hsiung-ka,no,danny0322,22.55677186,120.2926206,18,26,23,man,straight
5,1,1989,,,,man,0,kao-hsiung-ka,,samwwj,22.58368333,120.2945732,20,40,28,woman,straight
17,1,1989,,,,man,0,kao-hsiung-ka,,20160131,22.59257772,120.2957502,20,40,27,woman,straight
16,11,1996,,,,man,0,kao-hsiung-ka,,kevinzhung,22.59925427,120.2957637,18,30,20,woman,straight
4,7,1995,,,,woman,0,kao-hsiung-ka,no,weiyu74,22.55320043,120.2970081,20,35,21,everyone,bisexual
24,10,1996,,socially,university,woman,155,kao-hsiung-ka,no,abbiewu1024,22.58671359,120.2975875,18,22,20,man,straight
8,8,1987,,socially,,woman,0,kao-hsiung-ka,no,kueilinasaurus,22.61998047,120.2983742,30,40,29,man,straight
27,1,1967,average_build,not_at_all,university,woman,163,kao-hsiung-ka,no,3princess,22.63141133,120.3032518,40,65,49,man,straight
29,7,1978,fit,socially,post_grad,man,178,kao-hsiung-ka,no,ksailtw,22.56859278,120.3034373,24,40,38,woman,straight
26,4,1997,,,,woman,0,kao-hsiung-ka,,denise0426,22.41123031,120.3038557,18,26,19,everyone,bisexual
12,6,1995,average_build,socially,university,woman,160,kao-hsiung-ka,no,daisychang,22.33239298,120.3043005,18,27,21,man,straight
25,5,1978,fit,socially,university,man,176,kao-hsiung-ka,no,ferasq,22.56843065,120.3043084,27,40,38,woman,straight
11,5,1994,,socially,,woman,0,kao-hsiung-ka,no,yitinggggg,22.63914513,120.3043444,18,30,22,man,straight
19,7,1964,,,,man,0,kao-hsiung-ka,no,yl8425,22.51835194,120.3053907,33,90,52,woman,straight
7,6,1988,average_build,socially,,man,178,kao-hsiung-ka,sometimes,shin1988,22.50424777,120.306299,19,29,28,woman,straight
8,7,1998,,,,woman,0,tai-chung-shih,,winni0708,22.63121246,120.3063419,18,26,18,man,straight
6,11,1980,,,,man,0,shan-hua,,leslie9527inabox,23.097323,120.30655,25,58,36,woman,straight
8,10,1976,,socially,university,woman,168,kao-hsiung-ka,no,ninifly,22.54656401,120.3070061,35,45,40,man,straight
30,3,1991,,,,woman,162,kao-hsiung-ka,no,lizziezeng,22.62857091,120.3076446,25,30,25,man,straight
18,4,1982,fit,,university,man,182,kao-hsiung-ka,,basketboyasaurus,22.70121128,120.3086622,25,32,34,woman,straight
24,9,1973,average_build,socially,university,woman,0,kao-hsiung-ka,no,yehyiting,22.49161742,120.3087,34,50,43,man,straight
6,10,1989,,,,man,0,kao-hsiung-ka,,crisc_t,22.58720043,120.3089601,20,40,27,woman,straight
23,8,1988,,socially,post_grad,woman,164,kao-hsiung-ka,no,wolala123,22.56601759,120.3117817,18,35,28,man,straight
27,10,1988,,,university,woman,0,kao-hsiung-ka,,ombeline-k,22.66796233,120.3123549,20,30,28,man,straight
29,8,1981,,often,high_school,man,183,kao-hsiung-ka,sometimes,joshabare,22.63345253,120.3130943,18,27,35,woman,straight
22,6,1982,,socially,university,man,186,kao-hsiung-ka,no,johnnymvp,22.55425863,120.3133253,18,35,34,woman,straight
1,1,1994,average_build,not_at_all,high_school,man,173,kao-hsiung-ka,no,evans830101,22.56516954,120.3147142,22,50,23,man,gay
12,7,1993,average_build,socially,,man,175,kao-hsiung-ka,no,xwzhu,22.56339304,120.3148667,18,32,23,woman,straight
15,10,1989,,,,woman,0,kao-hsiung-ka,no,shelin1015,22.52929567,120.3151038,20,40,27,man,straight
24,9,1989,,socially,university,woman,165,kao-hsiung-ka,no,liangen,22.62316029,120.3154985,25,30,27,man,straight
28,12,1979,,,,woman,160,kao-hsiung-ka,,tshui,22.54808033,120.3156473,33,39,37,man,straight
15,4,1959,average_build,socially,post_grad,man,165,kao-hsiung-ka,no,mr888888,22.54749722,120.3156629,35,99,57,woman,straight
14,12,1979,fit,socially,,man,173,kao-hsiung-ka,no,kaohsiungcity,22.52323399,120.3167896,20,70,37,woman,straight
2,7,1993,thin,,,woman,156,kao-hsiung-ka,,jessic72,22.60045926,120.3177798,20,30,23,man,straight
31,1,1985,,,,woman,0,kao-hsiung-ka,,liuada,22.66391471,120.318161,22,48,31,man,straight
12,5,1973,,,,woman,0,kao-hsiung-ka,,carrie-yeh,22.55803149,120.3183645,28,72,43,man,straight
4,4,1987,,not_at_all,university,woman,0,tai-chung-shih,no,issa0404,22.9058015,120.3191452,21,44,29,man,straight
26,12,1992,,,,woman,0,kao-hsiung-ka,,wwvivi1992,22.67367053,120.32009,18,32,24,man,straight
22,12,1982,,socially,,woman,0,kao-hsiung-ka,,iluvhannibal,22.512129,120.320297,23,44,34,man,straight
2,4,1991,,,,woman,0,kao-hsiung-ka,,eva402,22.51655535,120.320916,19,40,25,man,straight
10,5,1998,,,,man,0,kao-hsiung-ka,,bert852,22.60290663,120.3224854,18,26,18,woman,straight
19,6,1998,,,,woman,0,kao-hsiung-ka,,e193782,22.56683679,120.3225396,18,26,18,man,straight
13,5,1984,,,,woman,0,nei-wei,,sofiachanel0513,22.58897999,120.323532,24,40,32,man,straight
17,1,1993,,,,woman,0,kao-hsiung-ka,,mikotingyunlin,22.72847515,120.3243986,18,32,23,man,straight
5,4,1975,average_build,not_at_all,post_grad,woman,158,kao-hsiung-ka,no,okcupid015,22.81583503,120.3262883,25,45,41,man,straight
1,4,1987,fit,socially,post_grad,man,178,kao-hsiung-ka,sometimes,tititaiw,22.55881872,120.3281828,18,35,29,woman,straight
19,9,1993,,socially,university,woman,165,kao-hsiung-ka,no,happy85432,22.34835163,120.3292426,20,25,23,man,straight
12,8,1992,,socially,university,woman,0,kao-hsiung-ka,no,allison_wu,22.56132523,120.3292426,20,40,24,man,straight
26,8,1992,overweight,not_at_all,university,woman,162,kao-hsiung-ka,no,emily_lin,22.58933488,120.3298814,23,35,24,man,straight
5,9,1975,fit,socially,university,woman,173,kao-hsiung-ka,no,oiku,22.65226875,120.3304652,35,55,41,man,straight
16,12,1988,fit,socially,university,man,174,kao-hsiung-ka,no,sqk147,22.56746054,120.3307081,20,35,28,woman,straight
16,1,1975,,,,woman,0,kao-hsiung-ka,,maggieagnesb,22.48738068,120.3326487,28,50,42,man,straight
21,5,1990,,,,woman,0,kao-hsiung-ka,,doris-zhen,22.39654681,120.334462,20,38,26,man,straight
23,4,1973,fit,often,,man,177,kao-hsiung-ka,sometimes,bee47,22.62785663,120.3349058,28,72,43,woman,straight
29,1,1995,,socially,,woman,0,kao-hsiung-ka,,regina_chang,22.53115074,120.3362157,18,40,21,man,straight
20,3,1987,,,,man,0,kao-hsiung-ka,,foxtrot_themask,22.54010519,120.3364619,21,44,29,woman,straight
17,1,1989,,,,man,0,kao-hsiung-ka,,iiiiian,22.63898544,120.3389244,20,40,27,woman,straight
31,8,1988,thin,socially,,woman,161,shan-hua,no,bebo0831,23.17848429,120.3395449,18,35,28,man,straight
20,10,1992,average_build,socially,university,woman,154,kao-hsiung-ka,no,pycksdew,22.52156778,120.3401339,18,26,24,man,straight
11,4,1989,fit,socially,university,woman,160,kao-hsiung-ka,,debbstherocker,22.40441623,120.3413585,19,34,27,man,straight
7,1,1994,fit,socially,university,man,183,kao-hsiung-ka,yes,aituwan,22.54728525,120.342052,18,24,23,woman,straight
12,12,1994,,socially,university,woman,156,kao-hsiung-ka,no,camillesmille,22.60349148,120.3422228,18,30,22,man,straight
28,10,1977,fit,socially,post_grad,man,170,kao-hsiung-ka,no,rfrockets,22.4719263,120.3422974,25,45,39,woman,straight
4,3,1998,,not_at_all,university,woman,0,kao-hsiung-ka,no,rainychou,22.1501007,120.3448068,18,26,18,man,straight
5,8,1985,,,,man,0,kao-hsiung-ka,,nico85tw,22.61922994,120.3448068,18,99,31,woman,straight
3,6,1993,full_figured,socially,,woman,160,kao-hsiung-ka,no,chuanlinlu,22.62219985,120.3448068,23,40,23,man,straight
12,7,1994,average_build,socially,university,woman,163,tai-chung-shih,no,xxhereandnow,22.52526652,120.3475163,18,40,22,man,straight
1,10,1987,,socially,,woman,0,kao-hsiung-ka,no,yuenhsiu,22.59175962,120.3481254,30,42,29,man,straight
7,8,1990,,,,woman,0,kao-hsiung-ka,,tricialeeasaurus,22.62513405,120.3486236,25,32,26,man,straight
27,7,1977,,socially,,woman,0,kao-hsiung-ka,no,qqgq,22.41760421,120.3496068,30,40,39,man,straight
28,1,1991,fit,not_at_all,,woman,165,kao-hsiung-ka,no,ireneshih,22.61074638,120.3510568,26,36,25,man,straight
30,5,1982,average_build,often,university,woman,163,kao-hsiung-ka,no,cherryrj,22.61718219,120.3540661,32,45,34,man,straight
23,5,1984,average_build,,,man,178,kao-hsiung-ka,,je_suis_leon,22.60741589,120.3557958,23,50,32,woman,straight
14,8,1984,thin,socially,university,man,178,kao-hsiung-ka,no,fe7o,22.3434462,120.3572181,18,99,32,woman,straight
1,3,1998,,,,woman,0,kao-hsiung-ka,,violaaaaaaaaaaaa,22.54244509,120.3576136,18,26,18,man,straight
20,9,1975,average_build,not_at_all,university,woman,164,kao-hsiung-ka,no,zoebrain,22.55650709,120.3590925,36,50,41,man,straight
26,1,1982,,,,man,0,chih-kan-lou,,daddysamli,22.96853658,120.35975,24,54,34,woman,straight
4,8,1988,,,post_grad,man,0,kao-hsiung-ka,,sergieaux,22.63131834,120.360074,18,42,28,woman,straight
16,2,1976,fit,socially,,woman,152,kao-hsiung-ka,yes,chicachica-ks,22.61002723,120.3608711,30,60,40,man,straight
1,10,1988,overweight,socially,university,woman,163,kao-hsiung-ka,no,katehuang77,22.77294124,120.3619266,30,40,28,man,straight
28,8,1989,,socially,,woman,0,tai-chung-shih,,han280323,22.6158015,120.362796,27,39,27,man,straight
8,5,1980,fit,socially,university,woman,154,kao-hsiung-ka,no,sabrina8888tw,22.48568021,120.364147,24,45,36,man,straight
23,11,1979,fit,socially,university,man,180,kao-hsiung-ka,no,rustyintaiwan,22.61937608,120.3648961,18,40,37,woman,straight
23,7,1986,,,,woman,0,kao-hsiung-ka,no,faith08_kawai,22.574629,120.365346,34,54,30,man,straight
18,2,1988,,,,man,0,kao-hsiung-ka,,weiyyang,22.69348146,120.3657565,25,35,28,woman,straight
1,6,1980,thin,socially,post_grad,woman,160,kao-hsiung-ka,no,evenisodd,22.47085542,120.3661591,33,45,36,man,straight
10,2,1989,fit,socially,university,man,175,chang-hua,no,funisanart,23.94926247,120.366369,18,37,27,woman,straight
19,3,1984,rather_not_say,socially,high_school,woman,157,kao-hsiung-ka,no,arvie19,22.52809332,120.3664735,23,50,32,man,straight
11,12,1985,,socially,,woman,0,kao-hsiung-ka,no,takepics,22.60461596,120.3672787,30,45,31,man,straight
29,9,1989,a_little_extra,socially,university,man,180,kao-hsiung-ka,no,alexguo5566,22.60604828,120.3674312,18,45,27,woman,straight
18,3,1989,full_figured,socially,university,woman,164,kao-hsiung-ka,no,vitashen,22.59530847,120.368024,18,99,27,man,straight
3,11,1990,,,,woman,165,kao-hsiung-ka,,yoshikoshih,22.54636045,120.3681834,25,33,26,man,straight
16,12,1985,thin,socially,post_grad,woman,160,kao-hsiung-ka,no,orangegirl1216,22.49281082,120.3689411,28,39,31,man,straight
11,8,1988,,,,woman,0,kao-hsiung-ka,,ashleyformosa,22.62588049,120.3696243,27,36,28,man,straight
26,3,1997,thin,not_at_all,university,woman,157,kao-hsiung-ka,no,ryleevasaurus,22.70506378,120.3698805,18,30,19,man,straight
20,6,1995,,,,man,0,kao-hsiung-ka,,lorenzaud,22.77334695,120.3699904,18,25,21,woman,straight
4,2,1991,average_build,socially,university,woman,157,kao-hsiung-ka,no,soweon5080,22.54774728,120.3706332,25,35,25,man,straight
6,6,1983,,,,man,0,chang-hua,,crooklynhu,24.04202867,120.3716077,20,35,33,woman,straight
1,6,1992,,not_at_all,university,woman,158,kao-hsiung-ka,no,katyren92,22.40190173,120.3719004,18,32,24,man,straight
28,7,1985,,,university,woman,0,kao-hsiung-ka,no,michaju-hsiao,22.40038658,120.3732578,22,48,31,man,straight
21,3,1982,,,,man,0,kao-hsiung-ka,,alexsky123,22.56142768,120.3733782,21,34,34,woman,straight
11,12,1970,,not_at_all,,man,0,kao-hsiung-ka,no,jeanyma,22.72626834,120.3766539,42,55,46,man,gay
30,10,1977,,socially,,woman,0,kao-hsiung-ka,no,aliceyangthecat,22.58222394,120.3768924,33,46,39,man,straight
3,2,1979,,,post_grad,woman,0,kao-hsiung-ka,no,truejean,22.53287747,120.3770649,28,45,37,man,straight
28,8,1992,,,,man,0,kao-hsiung-ka,,guo-wei,22.72763446,120.3777015,19,34,24,woman,straight
23,7,1990,,,,woman,0,kao-hsiung-ka,,ineslinnn,22.49719537,120.3784975,20,38,26,man,straight
23,6,1994,,,,man,0,kao-hsiung-ka,,vindieselli,22.61532667,120.3785977,18,24,22,woman,straight
9,7,1997,,socially,,woman,163,kao-hsiung-ka,no,ethelcc,22.61688252,120.3792896,18,26,19,man,straight
17,12,1994,,,,woman,0,kao-hsiung-ka,,renjames_taco,22.38665908,120.3814816,18,30,22,man,straight
30,12,1992,,,,woman,0,kao-hsiung-ka,,meilideyunduo,22.42895971,120.38219,18,32,24,man,straight
4,1,1977,a_little_extra,socially,post_grad,woman,175,kao-hsiung-ka,no,mhinabox,22.55725448,120.3823562,28,45,40,man,straight
27,1,1972,,,,woman,0,kao-hsiung-ka,,checatthecat,22.49105551,120.3836889,40,50,44,man,straight
14,6,1990,,,,man,0,kao-hsiung-ka,,jianfong,22.62123917,120.3837173,20,38,26,woman,straight
15,4,1996,,,,woman,0,kao-hsiung-ka,,jiasonn,22.6223048,120.3855993,18,28,20,man,straight
31,3,1990,,socially,,woman,158,kao-hsiung-ka,,rosalindacorpuz,22.61195709,120.3868236,19,36,26,man,straight
8,8,1995,average_build,,,woman,162,kao-hsiung-ka,no,ffm123cindy,22.55905268,120.3877867,18,25,21,man,straight
27,1,1998,,,,woman,0,kao-hsiung-ka,,aas87127tw,22.64628505,120.3879396,18,23,18,man,straight
6,12,1991,average_build,socially,university,woman,166,kao-hsiung-ka,no,selena2676,22.5265087,120.3900045,20,28,25,man,straight
8,11,1996,,,,man,0,kao-hsiung-ka,,kevinadiel,22.62294833,120.3901193,18,26,20,woman,straight
5,6,1971,,,university,man,0,kao-hsiung-ka,,wilfredhsu,22.5085133,120.3906667,29,76,45,woman,straight
18,11,1978,,,,woman,0,kao-hsiung-ka,,tiffanyisapuppy,22.63167598,120.3913184,30,45,38,man,straight
22,7,1997,,,,woman,0,kao-hsiung-ka,,cindyhsu,22.18371991,120.3917382,18,26,19,man,straight
17,3,1990,,,,woman,0,kao-hsiung-ka,,sugerbabyasaurus,22.61162037,120.3917867,18,35,26,man,straight
14,8,1990,,,,man,0,kao-hsiung-ka,,linya-tsai,22.5376427,120.3925367,20,38,26,woman,straight
21,2,1990,,,,woman,0,kao-hsiung-ka,,lulu221_taco,22.68068961,120.3948589,20,38,26,man,straight
1,3,1993,,,,woman,0,kao-hsiung-ka,,abeeeeeeeee0301,22.730879,120.3959432,18,32,23,man,straight
7,3,1979,thin,,post_grad,woman,165,kao-hsiung-ka,no,chopin276,22.60811114,120.3970361,32,50,37,man,straight
