,birthDateDay,birthDateMonth,birthDateYear,bodytype,cats,childrenHave,childrenWant,diet,dogs,drinking,drugs,educationModifier,educationValue,gender,heightCm,locationCountryCode,locationFormatted,monogamous,orientation,religionModifier,religionValue,sign,smoking,status,username,weed,lat,long,minAge,maxAge,language,Ethnicity,age,sexPreference
32,28,5,1977,,,,,,,,never,,,woman,0,tw,pang-po,,straight,,,,,single,minicutemei,,33.00784853,112.1960835,26,64,,,39,man
33,14,10,1990,thin,,doesnt_have,,,,,never,,university,man,182,tw,tung-shih,,straight,,,,no,single,goyah,,33.93238934,112.3202719,19,36,,,26,woman
34,31,1,1992,,,,,,,,never,,,woman,160,tw,chu-nan,,straight,,catholicism,aquarius,,single,lablabsandra,,28.06255746,112.9496314,19,34,,asian,24,man
35,17,11,1996,,,,,,,,,,,woman,0,tw,chu-nan,,straight,,,,,single,jaspergentleman2,,28.0960762,113.0756264,18,26,,,20,man
36,28,10,1983,fit,,doesnt_have,doesnt_want,,,often,,,university,man,179,tw,chung-shan,,straight,,agnosticism,,yes,single,darkchocoloversg,,22.51122533,113.3080255,23,52,,asian,33,woman
37,2,10,1991,,,,,,,,,,,man,0,tw,chung-shan,,straight,,,,,single,camgaoge,,22.50983421,113.3280101,22,36,,,25,woman
38,5,10,1985,,,,,,,,never,,,man,0,tw,chung-shan,,straight,,,,,single,skivvv,,22.56638172,113.3335852,22,48,,,31,woman
39,4,12,1980,,,,,,,,,,,man,0,tw,chung-shan,,straight,,,,,single,thomastaipei,,22.47048737,113.3650752,18,35,,,36,woman
40,1,8,1995,,,,,,,,,,,woman,170,tw,chung-shan,,straight,,,,,single,htyk81,,22.52349251,113.3740583,20,24,,,21,man
41,14,8,1991,,,,,,,,never,,,man,0,tw,chung-shan,,straight,,,,,single,sharkidd,,22.48656878,113.3958862,19,36,,,25,woman
42,26,3,1983,,,,,,,,,,,man,0,tw,chung-shan,,straight,,,,,single,homagethomas,,22.41375416,113.3996454,23,40,,,33,woman
43,3,12,1992,,,,,,,socially,,,,woman,160,tw,chung-shan,monogamous,straight,,,sagittarius,sometimes,single,grimmychen,,22.41265117,113.4141536,24,28,english,asian,24,man
44,23,3,1991,,,,,,,,,,,man,0,tw,hsia-ta-keng,,straight,,,,,single,chenweiyan,,25.78829422,114.383699,19,36,,,25,woman
45,15,5,1985,fit,,,,omnivore,,socially,never,,university,man,170,tw,pai-yn shan-chuang,,straight,,,taurus,no,single,cocaqwerty,,29.68233356,114.8613035,22,48,english,asian,31,woman
46,30,1,1985,average_build,,doesnt_have,,,has_dogs,socially,never,,university,woman,161,tw,chn-wei,monogamous,straight,,catholicism,aquarius,no,single,ha_di_ha,,36.43589415,115.0600506,30,40,english,asian,31,man
47,24,5,1970,average_build,,,,,,socially,never,,,man,176,tw,shan-wei,,straight,,catholicism,gemini,yes,single,ku-li,,22.71646123,115.3242608,26,74,,black,46,woman
48,6,10,1979,average_build,,,,,has_dogs,socially,never,,university,woman,0,tw,jen-mei,,straight,,buddhism,libra,no,single,tsc020,,24.31273694,115.9862891,34,40,,asian,37,man
49,6,10,1979,fit,,,might_want,,has_dogs,socially,never,,university,woman,158,tw,jen-mei,,straight,,,,no,single,fecsvlove,,24.29771475,116.082144,33,45,,asian,37,man
50,25,9,1982,fit,,,,,,socially,never,,,man,0,tw,jen-mei,,straight,,,,no,single,llopvee,,24.19985144,116.1150481,23,35,,,34,woman
51,2,3,1987,,,,,,,,,,,man,0,tw,nan-ping,,straight,,,,,single,harveyheller,,26.6279759,118.203171,20,40,,,29,woman
52,29,11,1985,,,,,,,not_at_all,never,,,woman,0,tw,she-chuang,,straight,,,,no,single,irene_7777,,29.77445354,118.4999714,26,36,chinese,,31,man
53,25,4,1980,average_build,,doesnt_have,wants,omnivore,,socially,never,,university,man,168,tw,chang-pu-keng,monogamous,bisexual,,catholicism,taurus,no,single,heroesnaruto,,25.98096299,118.6820625,24,40,english,asian,36,everyone
54,16,5,1979,,,doesnt_have,doesnt_want,,,socially,never,,,man,0,tw,nan-kan,,straight,,,pisces,no,single,jimtang0516,,26.23951205,119.8004537,33,42,,,37,woman
55,31,10,1978,,,,,,,,,,,woman,0,tw,nan-kan,,straight,,,,,single,momocottt,,26.14850999,119.8623751,35,45,,,38,man
56,13,10,1985,,,,,,,,never,,,woman,0,tw,nan-kan,,straight,,,,,single,funkymango13,,26.14325798,119.998602,22,48,,,31,man
57,11,5,1982,fit,,,might_want,,,socially,never,,two_year_college,man,175,tw,hsi-hu,,straight,,,taurus,sometimes,single,geoff_hsu,,30.25110446,120.0518359,25,35,,asian,34,woman
58,2,5,1974,,,,,,,socially,never,,two_year_college,woman,165,tw,kao-hsiung-ka,monogamous,straight,,christianity,taurus,no,single,jessica-sun,,22.31319109,120.0574505,34,48,,asian,42,man
59,31,12,1980,,,,,,,,never,working_on,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,bella-31,,22.55974066,120.078984,30,50,,,36,man
60,21,7,1984,a_little_extra,has_cats,,,,,socially,never,,university,woman,170,tw,kao-hsiung-ka,monogamous,bisexual,,atheism,cancer,no,single,driftingsongs,,22.45430814,120.0861861,25,40,english,white,32,everyone
61,3,12,1980,a_little_extra,,doesnt_have,might_want,omnivore,,socially,never,,university,man,185,tw,kao-hsiung-ka,monogamous,straight,,buddhism,sagittarius,sometimes,single,deansonlin,,22.6293878,120.1242186,18,38,chinese,asian,36,woman
62,9,6,1997,,,doesnt_have,,,,,never,,,woman,163,tw,kao-hsiung-ka,,straight,,,gemini,no,single,yihui30919,,22.59781448,120.15355,18,30,,asian,19,man
63,5,11,1992,,,,,,,,,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,abe55132,,22.6190077,120.172393,19,35,,,24,man
64,13,9,1991,fit,,,,,has_dogs,socially,never,,university,woman,153,tw,kao-hsiung-ka,,straight,,,,no,single,oochayi,,22.5580085,120.1727138,18,32,chinese,asian,25,man
65,4,4,1997,,,,,,,,never,,,man,0,tw,kao-hsiung-ka,,straight,,,,,single,alexander1404,,22.62852122,120.1854661,18,26,,,19,woman
66,26,12,1994,,,,,,,,,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,olivia1226,,22.30269918,120.1871491,18,28,,,22,man
67,17,4,1995,fit,has_cats,doesnt_have,wants,omnivore,has_dogs,often,never,working_on,,woman,151,tw,kao-hsiung-ka,monogamous,straight,,,aries,no,single,kimhwahwa,,22.52176556,120.2009219,18,30,chinese,asian,21,man
68,12,5,1992,,,,,,,socially,never,,,woman,0,tw,hsin-ta-kang,,straight,,,,,single,janelledewilde,,22.88916027,120.2045688,22,34,,,24,man
69,5,9,1994,,,,,omnivore,,not_at_all,never,,,woman,160,tw,kao-hsiung-ka,,straight,,,virgo,no,single,jia-rong,,22.61222298,120.2055663,18,26,chinese,asian,22,man
70,13,8,1975,,,,,,,,,,,man,0,tw,chih-kan-lou,,straight,,,,,single,alqlion,,22.93537514,120.2154276,24,40,,,41,woman
71,10,6,1981,fit,,doesnt_have,,omnivore,,socially,,,university,man,185,tw,kao-hsiung-ka,,straight,,,gemini,sometimes,single,bailz8,,22.51311255,120.2232598,18,36,english,other,35,woman
72,13,8,1994,average_build,,,,,,,,,,man,171,tw,kao-hsiung-ka,,straight,,,,,single,embracetdarkness,,22.50223843,120.226625,18,30,chinese_(mandarin),asian,22,woman
73,6,8,1976,average_build,has_cats,doesnt_have,,omnivore,has_dogs,socially,,,post_grad,man,183,tw,kao-hsiung-ka,,straight,but_its_not_important,christianity,leo,no,single,chrisschorr,,22.60266638,120.2344172,24,36,english,white,40,woman
74,18,10,1986,,,,,,,,,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,ismesh,,22.65840797,120.2347151,25,46,,,30,man
75,14,6,1976,average_build,has_cats,doesnt_have,might_want,,has_dogs,socially,never,,university,woman,150,tw,kao-hsiung-ka,monogamous,straight,but_its_not_important,buddhism,gemini,no,single,mic1976e,,22.54685122,120.2435798,35,50,chinese,asian,40,man
76,8,2,1976,average_build,,doesnt_have,might_want,,,socially,never,,,man,213,tw,kao-hsiung-ka,,straight,and_its_important,christianity,virgo,no,single,canterbury3027,,22.54592087,120.2439665,18,60,,black,40,woman
77,10,4,1984,,,,,,has_dogs,socially,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,aries,no,single,angela0410thecat,,22.54164902,120.2442633,23,50,,,32,man
78,6,5,1991,,,,,,,,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,no,single,may_echo,,22.57993123,120.2491727,19,36,,asian,25,man
79,10,1,1983,,,,,,,,,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,liwem,,22.71955654,120.2533035,23,52,,,34,man
80,9,5,1988,,,,,,,,,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,doristangchia,,22.52218145,120.25466,28,35,,,28,man
81,5,9,1997,average_build,,,,omnivore,,not_at_all,never,working_on,university,man,181,tw,kao-hsiung-ka,,gay,,,virgo,no,single,xbenitox,,22.59457581,120.2558016,18,26,,asian,19,everyone
82,25,9,1987,,,,,,,,,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,artedontcare,,22.57685617,120.2562241,21,44,,,29,man
83,2,4,1972,,,,,,,,,,,man,0,tw,kao-hsiung-ka,,straight,,,,,single,singwhtm,,22.65057837,120.2611566,18,39,,,44,woman
84,9,6,1979,,,,,,,,,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,clarita89,,22.55411618,120.2634325,35,45,,,37,man
85,20,11,1996,,has_cats,doesnt_have,,omnivore,,socially,never,,university,woman,0,tw,kao-hsiung-ka,,straight,but_its_not_important,christianity,scorpio,no,open_relationship,ciindy_lin1120,,22.48304021,120.2652312,18,26,chinese_(mandarin),asian,20,man
86,16,3,1988,thin,,doesnt_have,wants,omnivore,,socially,never,working_on,university,woman,154,tw,kao-hsiung-ka,monogamous,straight,,,pisces,no,single,jaimie0316,,22.73121263,120.2663754,28,45,chinese_(mandarin),asian,28,man
87,6,7,1983,,,,,,,,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,no,single,docindy,,22.70770885,120.2687198,34,45,,,33,man
88,14,12,1974,thin,,doesnt_have,,,,socially,never,,post_grad,man,183,tw,kao-hsiung-ka,monogamous,straight,,,,no,single,mackallan,,22.52696061,120.2689585,25,32,english,white,42,woman
89,20,3,1993,,,,,,,,,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,p5318489,,22.62118393,120.2690492,18,32,,,23,man
90,25,2,1997,,,,,,,,,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,zakaro,,22.80269918,120.2706717,18,26,,,19,man
91,7,1,1984,fit,,doesnt_have,might_want,vegetarian,has_dogs,socially,never,,university,woman,158,tw,kao-hsiung-ka,monogamous,straight,,buddhism,capricorn,no,single,suichingchaotaiw,,22.75149975,120.2737244,18,90,english,asian,33,man
92,7,6,1981,average_build,,,,,,not_at_all,,,post_grad,man,167,tw,kao-hsiung-ka,,straight,,,,no,single,sneaker97,,22.37907344,120.2747133,24,56,,,35,woman
93,2,1,1967,,,,,,,not_at_all,never,,,woman,168,tw,kao-hsiung-ka,,straight,,,,no,single,feliz828,,22.61950079,120.2774667,45,70,,,50,man
94,27,2,1993,average_build,,,,,,,,working_on,university,man,173,tw,kao-hsiung-ka,,bisexual,,,,,single,asdfg869527,,22.63582692,120.2777457,18,50,chinese,asian,23,everyone
95,15,11,1990,average_build,,doesnt_have,might_want,omnivore,,not_at_all,never,,university,man,180,tw,liu-ku,,straight,and_its_important,buddhism,scorpio,no,single,donnycoolthecat,,28.59279667,120.2779901,18,26,english,asian,26,woman
96,12,2,1983,thin,,doesnt_have,might_want,,,,never,,post_grad,woman,163,tw,kao-hsiung-ka,,straight,,,,,single,jen_yang,,22.60191127,120.2783861,30,40,chinese,,33,man
97,31,1,1980,,,,,,,,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,may4ever,,22.51587747,120.2785085,25,58,,,36,man
98,26,8,1995,,,,,,has_dogs,socially,never,,university,woman,159,tw,kao-hsiung-ka,monogamous,straight,,,virgo,no,single,vvnanan,,22.63194423,120.281385,18,28,english,asian,21,man
99,4,8,1994,,,,,,,,,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,ohhlora,,22.62735308,120.2823068,23,30,,,22,man
100,1,6,1976,fit,,doesnt_have,,omnivore,,socially,never,,post_grad,woman,165,tw,kao-hsiung-ka,,straight,but_its_not_important,buddhism,gemini,no,single,baltic_matera,,22.48028938,120.2835823,37,55,english,asian,40,man
101,29,11,1985,average_build,,,,,,socially,never,,university,man,178,tw,kao-hsiung-ka,,straight,,,,,single,morridevison,,22.574629,120.2837507,20,42,,native_american,31,woman
102,4,4,1990,,,,,omnivore,has_dogs,socially,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,khoop_24,,22.63260001,120.2842805,25,35,,,26,man
103,23,9,1992,,,,,,,socially,,working_on,,woman,157,tw,kao-hsiung-ka,,straight,,,libra,,single,yiru9329,,22.47359807,120.2855734,23,30,chinese,,24,man
104,7,5,1997,,,,,vegan,,not_at_all,never,working_on,university,woman,0,tw,kao-hsiung-ka,,straight,,,taurus,no,seeing_someone,nikkistyle0507,,22.44203231,120.2860675,18,26,chinese,asian,19,man
105,3,9,1981,,,doesnt_have,wants,,has_dogs,socially,never,,university,woman,0,tw,kao-hsiung-ka,,straight,,,,no,single,eileenyeh,,22.60842622,120.2880692,24,56,,asian,35,man
106,5,2,1964,average_build,,has,,,has_dogs,not_at_all,never,,university,woman,163,tw,kao-hsiung-ka,monogamous,straight,,catholicism,aquarius,no,single,teresa8899,,22.58524221,120.2889062,41,70,english,asian,52,man
107,13,8,1995,,,,,,has_dogs,socially,never,,,woman,164,tw,kao-hsiung-ka,,straight,,atheism,leo,yes,single,tihanatigi,,22.48355093,120.2914908,20,30,,white,21,man
108,22,3,1993,thin,,,,,has_dogs,socially,never,,,woman,160,tw,kao-hsiung-ka,,straight,,,,no,single,danny0322,,22.55677186,120.2926206,18,26,chinese,,23,man
109,5,1,1989,,,,,,,,never,,,man,0,tw,kao-hsiung-ka,,straight,,,,,single,samwwj,,22.58368333,120.2945732,20,40,,,28,woman
110,17,1,1989,,,,,,,,never,,,man,0,tw,kao-hsiung-ka,,straight,,,,,single,20160131,,22.59257772,120.2957502,20,40,,,27,woman
111,16,11,1996,,,,,,,,,,,man,0,tw,kao-hsiung-ka,,straight,,,,,single,kevinzhung,,22.59925427,120.2957637,18,30,,,20,woman
112,4,7,1995,,,doesnt_have,,,,,never,,,woman,0,tw,kao-hsiung-ka,,bisexual,,,,no,single,weiyu74,,22.55320043,120.2970081,20,35,chinese,asian,21,everyone
113,24,10,1996,,,,,,,socially,never,,university,woman,155,tw,kao-hsiung-ka,,straight,,,,no,single,abbiewu1024,,22.58671359,120.2975875,18,22,,,20,man
114,8,8,1987,,,,,,,socially,never,,,woman,0,tw,kao-hsiung-ka,monogamous,straight,,,,no,single,kueilinasaurus,,22.61998047,120.2983742,30,40,,asian,29,man
115,27,1,1967,average_build,,doesnt_have,,,has_dogs,not_at_all,never,,university,woman,163,tw,kao-hsiung-ka,,straight,,,aquarius,no,single,3princess,,22.63141133,120.3032518,40,65,chinese,asian,49,man
116,29,7,1978,fit,has_cats,doesnt_have,might_want,omnivore,,socially,never,,post_grad,man,178,tw,kao-hsiung-ka,,straight,,,,no,single,ksailtw,,22.56859278,120.3034373,24,40,,asian,38,woman
117,26,4,1997,,,,,,,,,,,woman,0,tw,kao-hsiung-ka,,bisexual,,,,,single,denise0426,,22.41123031,120.3038557,18,26,,,19,everyone
118,12,6,1995,average_build,,,,omnivore,,socially,never,,university,woman,160,tw,kao-hsiung-ka,,straight,,,,no,single,daisychang,,22.33239298,120.3043005,18,27,english,asian,21,man
119,25,5,1978,fit,,doesnt_have,might_want,,,socially,never,,university,man,176,tw,kao-hsiung-ka,,straight,but_its_not_important,agnosticism,gemini,no,single,ferasq,,22.56843065,120.3043084,27,40,english,middle_eastern,38,woman
120,11,5,1994,,,,,,,socially,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,no,single,yitinggggg,,22.63914513,120.3043444,18,30,,,22,man
121,19,7,1964,,,,,,,,,,,man,0,tw,kao-hsiung-ka,,straight,,,,no,single,yl8425,,22.51835194,120.3053907,33,90,,,52,woman
122,7,6,1988,average_build,,doesnt_have,,,,socially,never,working_on,,man,178,tw,kao-hsiung-ka,,straight,but_its_not_important,buddhism,,sometimes,single,shin1988,,22.50424777,120.306299,19,29,japanese,asian,28,woman
123,8,7,1998,,,,,,,,,,,woman,0,tw,tai-chung-shih,,straight,,,,,single,winni0708,,22.63121246,120.3063419,18,26,,,18,man
124,6,11,1980,,,,,,,,never,,,man,0,tw,shan-hua,,straight,,,,,single,leslie9527inabox,,23.097323,120.30655,25,58,,,36,woman
125,8,10,1976,,,doesnt_have,might_want,,,socially,never,,university,woman,168,tw,kao-hsiung-ka,,straight,,,,no,single,ninifly,,22.54656401,120.3070061,35,45,english,asian,40,man
126,30,3,1991,,,,,,,,never,,,woman,162,tw,kao-hsiung-ka,,straight,,,,no,single,lizziezeng,,22.62857091,120.3076446,25,30,chinese,asian,25,man
127,18,4,1982,fit,,,,,,,never,,university,man,182,tw,kao-hsiung-ka,,straight,,,aries,,single,basketboyasaurus,,22.70121128,120.3086622,25,32,chinese_(mandarin),asian,34,woman
128,24,9,1973,average_build,,,,,,socially,never,,university,woman,0,tw,kao-hsiung-ka,,straight,,,libra,no,single,yehyiting,,22.49161742,120.3087,34,50,english,asian,43,man
129,6,10,1989,,,,,,,,,,,man,0,tw,kao-hsiung-ka,,straight,,,,,single,crisc_t,,22.58720043,120.3089601,20,40,,,27,woman
130,23,8,1988,,,,,,,socially,never,,post_grad,woman,164,tw,kao-hsiung-ka,monogamous,straight,,,,no,single,wolala123,,22.56601759,120.3117817,18,35,,asian,28,man
131,27,10,1988,,,,,,,,never,,university,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,ombeline-k,,22.66796233,120.3123549,20,30,,asian,28,man
132,29,8,1981,,,doesnt_have,might_want,omnivore,,often,never,,high_school,man,183,tw,kao-hsiung-ka,,straight,,,virgo,sometimes,single,joshabare,,22.63345253,120.3130943,18,27,,white,35,woman
133,22,6,1982,,,doesnt_have,,,,socially,never,,university,man,186,tw,kao-hsiung-ka,,straight,,,taurus,no,single,johnnymvp,,22.55425863,120.3133253,18,35,english,white,34,woman
134,1,1,1994,average_build,,doesnt_have,might_want,omnivore,,not_at_all,never,,high_school,man,173,tw,kao-hsiung-ka,,gay,,,capricorn,no,single,evans830101,,22.56516954,120.3147142,22,50,chinese,asian,23,everyone
135,12,7,1993,average_build,,doesnt_have,might_want,,has_dogs,socially,never,,,man,175,tw,kao-hsiung-ka,,straight,,,,no,single,xwzhu,,22.56339304,120.3148667,18,32,,asian,23,woman
136,15,10,1989,,,,,,,,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,no,single,shelin1015,,22.52929567,120.3151038,20,40,,,27,man
137,24,9,1989,,has_cats,doesnt_have,,,,socially,never,,university,woman,165,tw,kao-hsiung-ka,monogamous,straight,,,libra,no,single,liangen,,22.62316029,120.3154985,25,30,chinese,asian,27,man
138,28,12,1979,,,,,,,,,,,woman,160,tw,kao-hsiung-ka,,straight,,,,,single,tshui,,22.54808033,120.3156473,33,39,,,37,man
139,15,4,1959,average_build,,doesnt_have,,omnivore,,socially,never,working_on,post_grad,man,165,tw,kao-hsiung-ka,monogamous,straight,but_its_not_important,christianity,aries,no,single,mr888888,,22.54749722,120.3156629,35,99,english,white,57,woman
140,14,12,1979,fit,,doesnt_have,,,has_dogs,socially,never,,,man,173,tw,kao-hsiung-ka,,straight,,,,no,open_relationship,kaohsiungcity,,22.52323399,120.3167896,20,70,,,37,woman
141,2,7,1993,thin,,doesnt_have,wants,omnivore,,,,working_on,,woman,156,tw,kao-hsiung-ka,,straight,,,cancer,,single,jessic72,,22.60045926,120.3177798,20,30,,asian,23,man
142,31,1,1985,,,,,,,,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,liuada,,22.66391471,120.318161,22,48,,,31,man
143,12,5,1973,,,,,,,,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,carrie-yeh,,22.55803149,120.3183645,28,72,,,43,man
144,4,4,1987,,,,,,,not_at_all,never,,university,woman,0,tw,tai-chung-shih,,straight,,,,no,single,issa0404,,22.9058015,120.3191452,21,44,chinese,,29,man
145,26,12,1992,,,,,,,,,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,wwvivi1992,,22.67367053,120.32009,18,32,,,24,man
146,22,12,1982,,,,,,,socially,,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,iluvhannibal,,22.512129,120.320297,23,44,,,34,man
147,2,4,1991,,,,,,,,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,eva402,,22.51655535,120.320916,19,40,,,25,man
148,10,5,1998,,,,,,,,never,,,man,0,tw,kao-hsiung-ka,,straight,,,,,single,bert852,,22.60290663,120.3224854,18,26,,,18,woman
149,19,6,1998,,,,,,,,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,e193782,,22.56683679,120.3225396,18,26,,,18,man
150,13,5,1984,,,,,,,,,,,woman,0,tw,nei-wei,,straight,,,,,single,sofiachanel0513,,22.58897999,120.323532,24,40,,,32,man
151,17,1,1993,,,,,,,,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,mikotingyunlin,,22.72847515,120.3243986,18,32,,,23,man
152,5,4,1975,average_build,has_cats,doesnt_have,might_want,,,not_at_all,never,,post_grad,woman,158,tw,kao-hsiung-ka,monogamous,straight,but_its_not_important,buddhism,aries,no,single,okcupid015,,22.81583503,120.3262883,25,45,chinese,asian,41,man
